ที่,ประเภท อปท.,ชื่อ,ตำบล,อำเภอ,จังหวัด,ป่าสงวนฯ,ปีที่ถ่ายโอนภารกิจ,พื้นที่รับผิดชอบ,ชื่อหน่วยงาน,lat,long,พื้นที่เสี่ยง,บันทึกกรมป่าไม้,บันทึกกรมอุทยาน,แผนที่
1,เทศบาลตำบล,เกาะกลาง,เกาะกลาง,เกาะลันตา,กระบี่,"5,087.22",2548,สจป.12 สาขากระบี่,เทศบาลตำบลเกาะกลาง,7.7291452,99.0908484,5,,https://drive.google.com/file/d/1M8QJJP4i08UL04K1ygII-FFJSvTKnRWT/view?usp=sharing,https://drive.google.com/file/d/1AgLNDA3pYKc_2U7jZ3_SwvvQ4y6JWE1z/view?usp=sharing
2,องค์การบริหารส่วนตำบล,เกาะลันตาน้อย,เกาะลันตาน้อย,เกาะลันตา,กระบี่,"8,863.17",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเกาะลันตาน้อย,7.6711355,99.0427209,5,,https://drive.google.com/file/d/1rNwcxqbrX6unE3zsvcqMJuQr_HXOJgrh/view?usp=sharing,https://drive.google.com/file/d/1C4VpasQnMHfnesyHPkk33-8Crctvx5UN/view?usp=drive_link
3,องค์การบริหารส่วนตำบล,เกาะลันตาใหญ่,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,"7,064.69",2555,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเกาะลันตาใหญ่,7.5459769,99.0459046,0,https://drive.google.com/file/d/1dY9nvW8pb7yjGStlO1Z7LHWObGIPm1eU/view?usp=drive_link,,
4,เทศบาลตำบล,คลองยาง,คลองยาง,เกาะลันตา,กระบี่,"5,087.22",2549,สจป.12 สาขากระบี่,เทศบาลตำบลคลองยาง,7.7964563,99.0800215,0,,https://drive.google.com/file/d/1rNRZowl8dk2SEktP6Dgvcj6E4T27Rw4L/view?usp=sharing,
5,เทศบาลตำบล,ศาลาด่าน,ศาลาด่าน,เกาะลันตา,กระบี่,"7,748.18",2548,สจป.12 สาขากระบี่,เทศบาลตำบลศาลาด่าน,7.591131,99.033758,0,,https://drive.google.com/file/d/1XMFxvaKrcNyXVGV6G6c5PY7NQajI2sdO/view?usp=sharing,
6,องค์การบริหารส่วนตำบล,เขาดิน,เขาดิน,เขาพนม,กระบี่,"15,803.42",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาดิน,8.3408255,99.0563611,5,,https://drive.google.com/file/d/1wMMpGmRLdk8D0muHq9n4znDorg3IZ_4j/view?usp=sharing,https://drive.google.com/file/d/1fnreX8GOHlcXz9PDd-mYnAkdQywY04Qs/view?usp=drive_link
7,องค์การบริหารส่วนตำบล,เขาพนม,เขาพนม,เขาพนม,กระบี่,"5,991.83",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาพนม,8.2292341,99.0347499,0,,https://drive.google.com/file/d/1Qyp70gNeGb_npAtnszr2SKsM01nwYyEm/view?usp=sharing,
8,องค์การบริหารส่วนตำบล,โคกหาร,โคกหาร,เขาพนม,กระบี่,"11,335.37",2550,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลโคกหาร,8.197458,99.307675,5,,https://drive.google.com/file/d/1khJCbU2YZlDWU5TGAvy-7D_X4DY3pcH8/view?usp=sharing,https://drive.google.com/file/d/1pjQnvxgWtvi4sNuMhi3S_3sqvl4JBZp3/view?usp=drive_link
9,องค์การบริหารส่วนตำบล,พรุเตียว,พรุเตียว,เขาพนม,กระบี่,"9,191.37",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลพรุเตียว,8.257003,99.081164,5,,https://drive.google.com/file/d/10Ue_4g0Rx3Fv6pXUCOzAJmebSRzY-IID/view?usp=sharing,https://drive.google.com/file/d/1HiRsmj0rMKWoWAx3_m2VoeOqb8cgPI3A/view?usp=drive_link
10,องค์การบริหารส่วนตำบล,สินปุน,สินปุน,เขาพนม,กระบี่,"3,817.32",2550,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลสินปุน,8.2524889,99.2747363,5,,https://drive.google.com/file/d/1nz3AcCKq8bToRahH6qMhgYW3V2ZCrPgS/view?usp=sharing,https://drive.google.com/file/d/1ueaHNO-OAzARuQDh9Er3VwPQUuEPMdET/view?usp=drive_link
11,องค์การบริหารส่วนตำบล,หน้าเขา,หน้าเขา,เขาพนม,กระบี่,"22,407.61",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลหน้าเขา,8.3168062,99.0086833,50,,https://drive.google.com/file/d/1KiFUYZWgWxgK2KTYCVjhhNXQoAHCY1zY/view?usp=sharing,https://drive.google.com/file/d/13O4P6dT6hZea1vXnbkll7DrdH5PY2H6a/view?usp=drive_link
12,องค์การบริหารส่วนตำบล,คลองท่อมใต้,คลองท่อมใต้,คลองท่อม,กระบี่,"4,886.60",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลคลองท่อมใต้,7.944773,99.152228,0,,https://drive.google.com/file/d/1dSRZEsbwxXC428I1OreeSSZextqNJ5s0/view?usp=sharing,https://drive.google.com/file/d/1wh3ltRSNeKGHv0Voie-26QDUGvP4g_rB/view?usp=drive_link
13,องค์การบริหารส่วนตำบล,คลองท่อมเหนือ,คลองท่อมเหนือ,คลองท่อม,กระบี่,"12,535.89",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลคลองท่อมเหนือ,7.947864,99.204264,0,,https://drive.google.com/file/d/15NS6oyGEvgGCjBq2M_0DS3R8dA3pVR0g/view?usp=drive_link,https://drive.google.com/file/d/1vKyRbeTDgw7mkWxLCwhtQR8_bU2HGTJy/view?usp=drive_link
14,เทศบาลตำบล,คลองพนพัฒนา,คลองพน,คลองท่อม,กระบี่,112.38,2548,สจป.12 สาขากระบี่,เทศบาลตำบลคลองพนพัฒนา,7.833742,99.171906,5,,https://drive.google.com/file/d/1_s8t1DPUv_f96RuiHO2HS57Y8z8hFhGb/view?usp=drive_link,https://drive.google.com/file/d/1oM05OYFwLnze5FaaxNhNwZFiLsrTQiQB/view?usp=drive_link
15,เทศบาลตำบล,ทรายขาว,ทรายขาว,คลองท่อม,กระบี่,1.07,2550,สจป.12 สาขากระบี่,เทศบาลตำบลทรายขาว,7.751608,99.261917,5,,https://drive.google.com/file/d/1rElAFeYgzBTqBySJLzD5lWeKy2tngOGA/view?usp=drive_link,https://drive.google.com/file/d/1_ZOWDVKDrERiodizuwWvJ6zJbIOmAN5I/view?usp=drive_link
16,องค์การบริหารส่วนตำบล,พรุดินนา,พรุดินนา,คลองท่อม,กระบี่,"8,578.19",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลพรุดินนา,8.045108,99.236406,0,,https://drive.google.com/file/d/1uEI3mRLiEzT6tnPw_eA1DZZsNW0buTsx/view?usp=sharing,https://drive.google.com/file/d/1DYSvJjBm6IJVdrFIvwtW8tJLziq_4fXz/view?usp=drive_link
17,องค์การบริหารส่วนตำบล,เพหลา,เพหลา,คลองท่อม,กระบี่,"13,097.88",2550,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเพหลา,8.082418697,99.14359689,5,,https://drive.google.com/file/d/1Jo_U2Aph1EZZAJvmiQd_pBfOCQFvhQPK/view?usp=sharing,https://drive.google.com/file/d/1YcWE5EbHO4Fn_BeALq9BmWXxqindNB_V/view?usp=drive_link
18,เทศบาลตำบล,ห้วยน้ำขาว,ห้วยน้ำขาว,คลองท่อม,กระบี่,"13,707.16",2548,สจป.12 สาขากระบี่,เทศบาลตำบลห้วยน้ำขาว,7.899754,99.125269,0,,https://drive.google.com/file/d/1t0VBcAYN5qboZ5-QRIf9r-t1X6XMqr1t/view?usp=drive_link,https://drive.google.com/file/d/1hINKwtjjayYJNJd1Z6_68mh8u6frdP3V/view?usp=drive_link
19,องค์การบริหารส่วนตำบล,เขาเขน,เขาเขน,ปลายพระยา,กระบี่,"9,145.31",2550,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาเขน,8.556438919,98.81153029,0,,https://drive.google.com/file/d/1jP6w3p4q9X8ux_Xn_SB63z0DtRCRMS6S/view?usp=drive_link,https://drive.google.com/file/d/1LSVB-2j2W-SqomA7X9uFbgjB8AmVXNO0/view?usp=drive_link
20,องค์การบริหารส่วนตำบล,เขาต่อ,เขาต่อ,ปลายพระยา,กระบี่,"23,347.68",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาต่อ,8.568917,98.737117,5,,https://drive.google.com/file/d/10jgDwFzIF_x04LACkiz4-2Jv5qdhrqHn/view?usp=drive_link,https://drive.google.com/file/d/1mqznhlclL020XZEp6yaSbNkQnsUWGVnT/view?usp=drive_link
21,เทศบาลตำบล,กระบี่น้อย,กระบี่น้อย,เมืองกระบี่,กระบี่,"1,109.36",2550,สจป.12 สาขากระบี่,เทศบาลตำบลกระบี่น้อย,8.15679423,98.96235198,5,,https://drive.google.com/file/d/1b_WtTNvry2li5mPN_ODJYO4XPmoYnHdf/view?usp=drive_link,https://drive.google.com/file/d/1zE1CrAY7iu3bNKYXiLo-AvMP6Le1pW_3/view?usp=drive_link
22,องค์การบริหารส่วนตำบล,เขาคราม,เขาคราม,เมืองกระบี่,กระบี่,"15,071.46",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาคราม,8.214964,98.809403,5,,https://drive.google.com/file/d/14c7vpmVkWQdbZOxxmuMpXFLgTkZW1pJi/view?usp=drive_link,https://drive.google.com/file/d/1QM7x9Xd0P2Q1g1YfpDbHd4I5dcQivfLQ/view?usp=drive_link
23,องค์การบริหารส่วนตำบล,เขาทอง,เขาทอง,เมืองกระบี่,กระบี่,"19,206.72",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาทอง,8.1656817,98.7965251,5,,https://drive.google.com/file/d/1Cz-50Lhf99vAD5pQ0fDXVVkoNLoXWvWZ/view?usp=drive_link,https://drive.google.com/file/d/10WJuFh_0uuV_qhZy8XXUGadP-8FYzaLS/view?usp=drive_link
24,องค์การบริหารส่วนตำบล,คลองประสงค์,คลองประสงค์,เมืองกระบี่,กระบี่,"3,291.62",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลคลองประสงค์,8.054454617,98.92688245,0,,https://drive.google.com/file/d/1VK7FKhIMgaGNrzwBzUpj-9YbLA9xT_su/view?usp=drive_link,
25,องค์การบริหารส่วนตำบล,ทับปริก,ทับปริก,เมืองกระบี่,กระบี่,"27,477.91",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลทับปริก,8.1447218,98.8914689,5,,https://drive.google.com/file/d/13UzGChECLKDXa_-2JApDgplE9wJx3lDv/view?usp=sharing,https://drive.google.com/file/d/1oK_vDnsz91PboVwdb6Feu_Y7561G0ApV/view?usp=drive_link
26,องค์การบริหารส่วนตำบล,ไสไทย,ไสไทย,เมืองกระบี่,กระบี่,"5,947.31",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลไสไทย,8.051253098,98.90737675,0,,https://drive.google.com/file/d/1NWwwyCHumZKVMomOzxDCwolorbO7wCuI/view?usp=drive_link,https://drive.google.com/file/d/1AipYPB79BHPcG4sNVz22Tu8_afpNk2cn/view?usp=drive_link
27,องค์การบริหารส่วนตำบล,หนองทะเล,หนองทะเล,เมืองกระบี่,กระบี่,"4,312.49",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลหนองทะเล,8.0858172,98.8076,0,,https://drive.google.com/file/d/1JMsaKG5BV9YnNEYPzM7xx1FYBjjMnHki/view?usp=sharing,
28,องค์การบริหารส่วนตำบล,อ่าวนาง,อ่าวนาง,เมืองกระบี่,กระบี่,"1,525.50",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลอ่าวนาง,8.051089768,98.80305961,0,,https://drive.google.com/file/d/1a4nmzPmE5ffSF_JbQ86mSRXtEt6zItEY/view?usp=drive_link,
29,องค์การบริหารส่วนตำบล,ดินแดง,ดินแดง,ลำทับ,กระบี่,"14,582.96",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลดินแดง,8.0102,99.389833,0,,https://drive.google.com/file/d/1liagwpeLfcIyGuPbSbAXHhI17saqO59Q/view?usp=drive_link,
30,องค์การบริหารส่วนตำบล,ทุ่งไทรทอง,ทุ่งไทรทอง,ลำทับ,กระบี่,"4,096.62",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลทุ่งไทรทอง,8.062086,99.27445,0,,https://drive.google.com/file/d/1Jz1Iwi1pSw9WuFW6C1usFXEGyw-DTOBl/view?usp=drive_link,
31,องค์การบริหารส่วนตำบล,ลำทับ,ลำทับ,ลำทับ,กระบี่,"4,558.09",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลลำทับ,8.080503,99.323024,5,,https://drive.google.com/file/d/1Vwm1lUyTfg-qOj0uEiYkMsZPEpYMftwW/view?usp=drive_link,https://drive.google.com/file/d/13szUIlpZ7i6BUL3KdYSs-GQ2-nYm--B2/view?usp=drive_link
32,องค์การบริหารส่วนตำบล,เกาะศรีบอยา,เกาะศรีบอยา,เหนือคลอง,กระบี่,"9,359.08",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเกาะศรีบอยา,7.893806,99.025047,5,,https://drive.google.com/file/d/1_tU-ZRVAJGpao-hdP120ubPlV_HIKcrd/view?usp=sharing,https://drive.google.com/file/d/1ExlvYeiyBjfh00n4oImjswyPPHYO01N-/view?usp=drive_link
33,องค์การบริหารส่วนตำบล,คลองขนาน,คลองขนาน,เหนือคลอง,กระบี่,"18,923.44",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลคลองขนาน,8.005284,99.013528,5,,https://drive.google.com/file/d/142a5-E8y6ArwlFNlR4eNJ8PyRooV4Y10/view?usp=drive_link,https://drive.google.com/file/d/148plEvshS1OHoXbU2e3RSWdhFq8OOfqh/view?usp=drive_link
34,องค์การบริหารส่วนตำบล,คลองเขม้า,คลองเขม้า,เหนือคลอง,กระบี่,"1,985.62",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลคลองเขม้า,8.026294722,98.99637043,0,,https://drive.google.com/file/d/1TiPh194x_Be7fJoFMHHBcsyxqzRNhXYZ/view?usp=drive_link,
35,องค์การบริหารส่วนตำบล,โคกยาง,โคกยาง,เหนือคลอง,กระบี่,"1,594.44",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลโคกยาง,8.082278,99.089458,5,,https://drive.google.com/file/d/1fo6WcM6JgZ3zNoBbwtaztSARMq_Mw1bv/view?usp=drive_link,https://drive.google.com/file/d/1Dbey6cKRWCY57kMsPvoaQyYeWv4qLtLB/view?usp=drive_link
36,องค์การบริหารส่วนตำบล,ตลิ่งชัน,ตลิ่งชัน,เหนือคลอง,กระบี่,"4,797.10",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลตลิ่งชัน,7.9763283,98.9736429,0,,https://drive.google.com/file/d/1-JCYu_fv1zC0lTDM17s522IcInrQoX93/view?usp=drive_link,https://drive.google.com/file/d/1FJii-FxPsCkUWmczh47boMxhqu13gyBh/view?usp=drive_link
37,องค์การบริหารส่วนตำบล,ปกาสัย,ปกาสัย,เหนือคลอง,กระบี่,"3,219.76",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลปกาสัย,8.033733926,99.06191826,5,,https://drive.google.com/file/d/1QFt-gy8IEW-_lreyBBdcq6NwtU-4NOPl/view?usp=drive_link,
38,องค์การบริหารส่วนตำบล,ห้วยยูง,ห้วยยูง,เหนือคลอง,กระบี่,"2,781.37",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลห้วยยูง,8.1415101,99.0713875,0,,https://drive.google.com/file/d/1kEnEVheLGL1y1pvfdAypVCHeK54WwYQv/view?usp=drive_link,
39,องค์การบริหารส่วนตำบล,เหนือคลอง,เหนือคลอง,เหนือคลอง,กระบี่,"3,536.91",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเหนือคลอง,8.05532039,99.01275873,0,,https://drive.google.com/file/d/1gYFpTKrfEX9xdU99UwVF9Z8Doc2u1QMZ/view?usp=drive_link,
40,องค์การบริหารส่วนตำบล,เขาใหญ่,เขาใหญ่,อ่าวลึก,กระบี่,"5,267.03",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาใหญ่,8.467339626,98.73595744,0,,https://drive.google.com/file/d/1OglGtL76-x5ty0vCZLs46nTwH26tpXig/view?usp=drive_link,
41,องค์การบริหารส่วนตำบล,นาเหนือ,นาเหนือ,อ่าวลึก,กระบี่,"3,353.39",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลนาเหนือ,8.496794,98.674642,0,,https://drive.google.com/file/d/1WEhHWNVj2P_xbmk9CTqK6gtJSogtN_04/view?usp=drive_link,
42,องค์การบริหารส่วนตำบล,แหลมสัก,แหลมสัก,อ่าวลึก,กระบี่,"8,490.17",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลแหลมสัก,8.340264,98.682775,0,,https://drive.google.com/file/d/1dFFICtXmzHBlUS-MfDYvKB7XFMXI3IHa/view?usp=sharing,https://drive.google.com/file/d/1-Yhk843erTHUUMavLV7FzE0VhgeQDU9O/view?usp=drive_link
43,เทศบาลตำบล,แหลมสัก,แหลมสัก,อ่าวลึก,กระบี่,"1,179.00",2550,สจป.12 สาขากระบี่,เทศบาลตำบลแหลมสัก,8.2850789,98.6564436,0,,https://drive.google.com/file/d/1wQ7WK6AsI90verFSUIuBzYVvi8iq_HFH/view?usp=drive_link,
44,องค์การบริหารส่วนตำบล,อ่าวลึกใต้,อ่าวลึกใต้,อ่าวลึก,กระบี่,"6,881.04",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลอ่าวลึกใต้,8.384539427,98.71531248,5,,https://drive.google.com/file/d/1H_TyjkKxVfJMQ2EpV5ZD3w_WNchtL8_d/view?usp=drive_link,
45,องค์การบริหารส่วนตำบล,อ่าวลึกน้อย,อ่าวลึกน้อย,อ่าวลึก,กระบี่,"3,131.44",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลอ่าวลึกน้อย,8.296458465,98.7554732,0,,https://drive.google.com/file/d/13Utv05kZdiV1OPpy8oiJGdVssjjD1IiL/view?usp=drive_link,
46,องค์การบริหารส่วนตำบล,อ่าวลึกเหนือ,อ่าวลึกเหนือ,อ่าวลึก,กระบี่,"1,474.87",2549,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลอ่าวลึกเหนือ,8.408781419,98.78229663,0,,https://drive.google.com/file/d/15Hfb9KiX2rExM05L1U-lBP7u-VYyGjWS/view?usp=drive_link,
47,องค์การบริหารส่วนตำบล,กลอนโด,กลอนโด,ด่านมะขามเตี้ย,กาญจนบุรี,135.95,2554,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลกลอนโด,13.891617,99.473725,45,https://drive.google.com/file/d/1F9xtyZ4Rw69lyUogJDhEStFpydzs2ZNk/view?usp=drive_link,,
48,องค์การบริหารส่วนตำบล,ชะแล,ชะแล,ทองผาภูมิ,กาญจนบุรี,"74,721.72",2554,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลชะแล,14.948939,98.697114,80,https://drive.google.com/file/d/1VSA3dhYOcgBPKPhdsqukYKkWUM9JHT1d/view?usp=drive_link,,
49,เทศบาลตำบล,ท่าขนุน,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,"198,265.00",2567,สจป.10 ราชบุรี,เทศบาลตำบลท่าขนุน,14.745117,98.6422948,60,,,
50,องค์การบริหารส่วนตำบล,ปิล๊อก,ปิล๊อก,ทองผาภูมิ,กาญจนบุรี,"16,502.00",2568,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลปิล๊อก,14.670856,98.383658,50,https://drive.google.com/file/d/1CxTL0Pg6fLAv8TxBUI5CRJXgmD858Nft/view?usp=drive_link,,
51,เทศบาลตำบล,ลิ่นถิ่น,ลิ่นถิ่น,ทองผาภูมิ,กาญจนบุรี,"20,544.01",2548,สจป.10 ราชบุรี,เทศบาลตำบลลิ่นถิ่น,14.56245,98.760397,50,,https://drive.google.com/file/d/1tH8GpFGPlxsQQ0scEUcftq8ImEIxaTeK/view?usp=sharing,
52,เทศบาลตำบล,สหกรณ์นิคม,สหกรณ์นิคม,ทองผาภูมิ,กาญจนบุรี,"10,432.49",2548,สจป.10 ราชบุรี,เทศบาลตำบลสหกรณ์นิคม,14.6721978,98.7182456,50,,https://drive.google.com/file/d/1yYW3p8b_FMMtJf1dfillkQmLbdYw1O-Q/view?usp=sharing,
53,องค์การบริหารส่วนตำบล,ห้วยเขย่ง,ห้วยเขย่ง,ทองผาภูมิ,กาญจนบุรี,"77,349.42",2557,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลห้วยเขย่ง,14.672358,98.600692,80,https://drive.google.com/file/d/1h623xJ2B83LBudwgQvbw5BdRsUyZDDPv/view?usp=drive_link,,
54,องค์การบริหารส่วนตำบล,หินดาด,หินดาด,ทองผาภูมิ,กาญจนบุรี,"9,764.00",2568,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลหินดาด,14.68589613,98.74465945,50,,,
55,องค์การบริหารส่วนตำบล,รางสาลี่,รางสาลี่,ท่าม่วง,กาญจนบุรี,"10,762.94",2548,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลรางสาลี่,13.867489,99.534267,50,,https://drive.google.com/file/d/1Gj6F-DBCU1406aL_kp3uE9db2RkS-xrl/view?usp=sharing,https://drive.google.com/file/d/1w9pF3uDf-DRBUg__CpQyJAH6rWfqUMVQ/view?usp=drive_link
56,เทศบาลตำบล,พระแท่น,พระแท่น,ท่ามะกา,กาญจนบุรี,230.13,2554,สจป.10 ราชบุรี,เทศบาลตำบลพระแท่น,14.040661,99.788461,45,https://drive.google.com/file/d/1qdINNoP40x7lyMvYfuUZIX0L5F4gigV1/view?usp=drive_link,,
57,เทศบาลตำบล,ไทรโยค,ไทรโยค,ไทรโยค,กาญจนบุรี,463.15,2554,สจป.10 ราชบุรี,เทศบาลตำบลไทรโยค,14.4803703,98.8474201,45,https://drive.google.com/file/d/1eaaV9ylwiyNLyRllAUgkPi1hs036H_oh/view?usp=drive_link,,
58,องค์การบริหารส่วนตำบล,บ้องตี้,บ้องตี้,ไทรโยค,กาญจนบุรี,"114,593.06",2554,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลบ้องตี้,14.07157305,98.99629533,80,https://drive.google.com/file/d/1JOIaN9SFjoQJ8WbppjOAROCBLaZOiCvm/view?usp=drive_link,,
59,องค์การบริหารส่วนตำบล,ลุ่มสุ่ม,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,"40,734.10",2548,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลลุ่มสุ่ม,14.08734644,99.16810883,55,,https://drive.google.com/file/d/1zrFEFMBl2jOJkvHnXNSx4cJDiQd4hNJL/view?usp=sharing,https://drive.google.com/file/d/1NQrRkiyUgxfewVBEoigGBUw11D-1-M5c/view?usp=drive_link
60,องค์การบริหารส่วนตำบล,วังกระแจะ,วังกระแจะ,ไทรโยค,กาญจนบุรี,"185,637.28",2554,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลวังกระแจะ,14.20863612,99.04800028,100,https://drive.google.com/file/d/16SwGsMFXXwZQT-HrHY21Dg6oM74kf0a8/view?usp=drive_link,,
61,องค์การบริหารส่วนตำบล,ศรีมงคล,ศรีมงคล,ไทรโยค,กาญจนบุรี,"78,336.89",2554,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลศรีมงคล,14.022452,99.191414,80,https://drive.google.com/file/d/1dNp-60Yc6i2U2kwvUIVz6EQK_6mPPVUh/view?usp=drive_link,,
62,องค์การบริหารส่วนตำบล,ช่องด่าน,ช่องด่าน,บ่อพลอย,กาญจนบุรี,8,2568,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลช่องด่าน,14.38356,99.51399,45,,,
63,องค์การบริหารส่วนตำบล,หนองกร่าง,หนองกร่าง,บ่อพลอย,กาญจนบุรี,"10,595.36",2557,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลหนองกร่าง,14.53984522,99.53993082,0,https://drive.google.com/file/d/1s3OzVd0-WmZx0tOPOVwl3h5bDCsPkKrP/view?usp=drive_link,,
64,องค์การบริหารส่วนตำบล,หนองรี,หนองรี,บ่อพลอย,กาญจนบุรี,"2,427.00",2568,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลหนองรี,14.53746699,99.4085294,50,,,
65,องค์การบริหารส่วนตำบล,หลุมรัง,หลุมรัง,บ่อพลอย,กาญจนบุรี,"15,214.00",2568,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลหลุมรัง,14.43459709,99.49784428,50,,,
66,องค์การบริหารส่วนตำบล,ดอนตาเพชร,ดอนตาเพชร,พนมทวน,กาญจนบุรี,"1,372.00",2568,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลดอนตาเพชร,14.186761,99.731364,50,,,
67,องค์การบริหารส่วนตำบล,พนมทวน,พนมทวน,พนมทวน,กาญจนบุรี,"3,232.41",2555,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลพนมทวน,14.12093316,99.68411082,50,https://drive.google.com/file/d/1BcGwMVeq8mWbfLIEWsONIGQ0eFimMusM/view?usp=drive_link,,
68,องค์การบริหารส่วนตำบล,หนองโรง,หนองโรง,พนมทวน,กาญจนบุรี,"3,640.66",2550,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลหนองโรง,14.122486,99.637011,50,,https://drive.google.com/file/d/1uJ8E-DSDwe0E2fLR5O70ESA7LblCCxaU/view?usp=drive_link,https://drive.google.com/file/d/1N9DYbcIRM-FpHpnA2ew5I3F4rZ-8E9Yu/view?usp=drive_link
69,องค์การบริหารส่วนตำบล,ทุ่งกระบ่ำ,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,"17,511.18",2557,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลทุ่งกระบ่ำ,14.588769,99.634922,50,https://drive.google.com/file/d/1eS9vkNCh6NEXis1EexMEG1dHVSrWT-RK/view?usp=drive_link,,
70,องค์การบริหารส่วนตำบล,เลาขวัญ,เลาขวัญ,เลาขวัญ,กาญจนบุรี,510.86,2554,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลเลาขวัญ,14.5704214,99.7845591,45,https://drive.google.com/file/d/1wN-bHI0Uau-8ebg3mseNyGmD3LoklqQz/view?usp=drive_link,,
71,องค์การบริหารส่วนตำบล,หนองนกแก้ว,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,"18,548.33",2554,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลหนองนกแก้ว,14.5849125,99.63569641,50,https://drive.google.com/file/d/1VHM7Y7t0Z6sAlJxs_2pVKUaZSiu_rkbV/view?usp=drive_link,,
72,องค์การบริหารส่วนตำบล,หนองประดู่,หนองประดู่,เลาขวัญ,กาญจนบุรี,876.93,2557,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลหนองประดู่,14.413145,99.801681,0,https://drive.google.com/file/d/1jZ2GzfcEWmHRk-Te_u-esUJU-DCElpcQ/view?usp=drive_link,,
73,องค์การบริหารส่วนตำบล,หนองปลิง,หนองปลิง,เลาขวัญ,กาญจนบุรี,"18,311.89",2554,สจป.10 ราชบุรี,องค์การบริหารส่วนตำบลหนองปลิง,14.733486,99.773067,50,https://drive.google.com/file/d/1JRagp77XCCmvjsotLgUGgoXFv6JqsIZg/view?usp=drive_link,,
