ที่,ประเภท อปท.,ชื่อ,ตำบล,อำเภอ,จังหวัด,ป่าสงวนฯ,ปีที่ถ่ายโอนภารกิจ,พื้นที่รับผิดชอบ,ชื่อหน่วยงาน,lat,long,พื้นที่เสี่ยง,บันทึกกรมป่าไม้,บันทึกกรมอุทยาน,แผนที่
273,เทศบาลตำบล,หัวถนน,หัวถนน,พนัสนิคม,ชลบุรี,3.53,2549,สจป.9 ชลบุรี,เทศบาลตำบลหัวถนน,13.5356677,101.2319496,0,,https://drive.google.com/file/d/1Ue_drFM4tGIYQr7zsjTKlnccmVbrESuC/view?usp=drive_link,https://drive.google.com/file/d/1rn3jrGkaYqRzaEzLHWmVuL_L04nPVtB2/view?usp=drive_link
274,องค์การบริหารส่วนตำบล,หนองข้างคอก,หนองข้างคอก,เมืองชลบุรี,ชลบุรี,118.04,2548,สจป.9 ชลบุรี,องค์การบริหารส่วนตำบลหนองข้างคอก,13.3197252,101.0001089,20,,https://drive.google.com/file/d/1-yWeV3SHtfK2U_lpSY1I6S2fm0cWiXfB/view?usp=drive_link,https://drive.google.com/file/d/17M5pRRdmpw4ulFgfbSph0XquLpBr_Bqh/view?usp=drive_link
275,เทศบาลตำบล,หนองรี,หนองรี,เมืองชลบุรี,ชลบุรี,316.58,2548,สจป.9 ชลบุรี,เทศบาลตำบลหนองรี,13.3431984,101.0484779,25,,https://drive.google.com/file/d/1RemvpPwGDDkGadkSCdEmzvfac_bdcjKA/view?usp=drive_link,https://drive.google.com/file/d/10foASSFmqhG0hN39-AySJH4lWWnzi2-Q/view?usp=drive_link
276,เทศบาลตำบล,เหมือง,เหมือง,เมืองชลบุรี,ชลบุรี,"2,268.03",2549,สจป.9 ชลบุรี,เทศบาลตำบลเหมือง,13.26836834,100.9682077,20,,https://drive.google.com/file/d/1PNvLbxugGfb5Nrb4LMmNEe0W-hqkAywR/view?usp=drive_link,https://drive.google.com/file/d/1QXU7GoQ_OApDL8ErPUg0_b2F14Ohj99M/view?usp=drive_link
277,เทศบาลเมือง,บางพระ,บางพระ,ศรีราชา,ชลบุรี,"2,600.95",2548,สจป.9 ชลบุรี,เทศบาลเมืองบางพระ,13.236636,100.983817,25,,https://drive.google.com/file/d/1YJP1pRS5GHxOBxCKBweOyIzUd4XebIne/view?usp=drive_link,https://drive.google.com/file/d/1XnvUG_-Zqfx1Ub0-Zn1v1EAKbTh1UEJl/view?usp=drive_link
278,องค์การบริหารส่วนตำบล,หนองขาม,หนองขาม,ศรีราชา,ชลบุรี,0,2548,สจป.9 ชลบุรี,องค์การบริหารส่วนตำบลหนองขาม,13.143464,101.024392,0,,https://drive.google.com/file/d/1i55kixsAwyktyUx23SeKurirkY86Zr34/view?usp=drive_link,https://drive.google.com/file/d/1VBkMcASOhj7E0HVHJx9pmrbYoa4thQT2/view?usp=drive_link
279,องค์การบริหารส่วนตำบล,เขาซก,เขาซก,หนองใหญ่,ชลบุรี,"9,800.36",2548,สจป.9 ชลบุรี,องค์การบริหารส่วนตำบลเขาซก,13.07811238,101.4016483,25,,https://drive.google.com/file/d/16oa_T2P9m4yp9C-2A7oDb05YVSqyJXaP/view?usp=drive_link,https://drive.google.com/file/d/1uUJnncWhGqOFkE2C6SISXCogro8t7h_Z/view?usp=drive_link
280,องค์การบริหารส่วนตำบล,คลองพลู,คลองพลู,หนองใหญ่,ชลบุรี,"9,350.48",2550,สจป.9 ชลบุรี,องค์การบริหารส่วนตำบลคลองพลู,13.110077,101.413723,25,,https://drive.google.com/file/d/1vd8Py4Dc0HYQXZOLcBbyaVrOkGhM6i1b/view?usp=drive_link,https://drive.google.com/file/d/1WBMrDVmtndrGT63w1P_ENZtlt_FPdLor/view?usp=drive_link
281,องค์การบริหารส่วนตำบล,หนองเสือช้าง,หนองเสือช้าง,หนองใหญ่,ชลบุรี,"3,585.67",2549,สจป.9 ชลบุรี,องค์การบริหารส่วนตำบลหนองเสือช้าง,13.1356783,101.3406771,25,,https://drive.google.com/file/d/1yLp0fiq7sI81wQcxscU46W4om-ywXPE8/view?usp=drive_link,https://drive.google.com/file/d/102uOKpZl7h3j92U5sgXasFPZotCAaflD/view?usp=drive_link
282,เทศบาลตำบล,หนองใหญ่,หนองใหญ่,หนองใหญ่,ชลบุรี,"4,919.26",2549,สจป.9 ชลบุรี,เทศบาลตำบลหนองใหญ่,13.147153,101.382919,25,,https://drive.google.com/file/d/1EIVZWvEYwtfoKwkMiyFPdmt8GZnT_L2f/view?usp=drive_link,https://drive.google.com/file/d/1nadZLoAR-1jbWB1qUUuUsEOInOf0xNEA/view?usp=drive_link
283,องค์การบริหารส่วนตำบล,ห้างสูง,ห้างสูง,หนองใหญ่,ชลบุรี,"1,618.62",2559,สจป.9 ชลบุรี,องค์การบริหารส่วนตำบลห้างสูง,13.239778,101.343083,20,https://drive.google.com/file/d/1Qr6aYLfNg3oCaVb7Ta_7DQUNF9Qyb7TT/view?usp=drive_link,,
284,องค์การบริหารส่วนตำบล,กะบกเตี้ย,กะบกเตี้ย,เนินขาม,ชัยนาท,"8,679.79",2554,สจป.5 สระบุรี,องค์การบริหารส่วนตำบลกะบกเตี้ย,15.023856,99.799783,25,https://drive.google.com/file/d/18YqWnB-y4jrbuNgde1S1gUS0s2IY4Lnd/view?usp=drive_link,,
285,เทศบาลตำบล,เนินขาม,เนินขาม,เนินขาม,ชัยนาท,"2,405.22",2554,สจป.5 สระบุรี,เทศบาลตำบลเนินขาม,14.95891165,99.91394749,25,https://drive.google.com/file/d/1n2JqenLBKd9CvNC9UbbXX241p9rapxA-/view?usp=drive_link,,
286,เทศบาลตำบล,วังตะเคียน,วังตะเคียน,หนองมะโมง,ชัยนาท,777.75,2550,สจป.5 สระบุรี,เทศบาลตำบลวังตะเคียน,15.27687834,99.86665741,25,,https://drive.google.com/file/d/1p6gawxKJAmr-C2lcDq7YMO4nZQG49bo6/view?usp=drive_link,
287,องค์การบริหารส่วนตำบล,สะพานหิน,สะพานหิน,หนองมะโมง,ชัยนาท,"5,341.76",2554,สจป.5 สระบุรี,องค์การบริหารส่วนตำบลสะพานหิน,15.2074152,99.8542748,25,https://drive.google.com/file/d/1suz3kova0v332OLX4BpfyqxZ1dBQBYpC/view?usp=drive_link,,
288,เทศบาลตำบล,หนองมะโมง,หนองมะโมง,หนองมะโมง,ชัยนาท,"5,792.85",2550,สจป.5 สระบุรี,เทศบาลตำบลหนองมะโมง,15.27886548,99.8679328,25,,https://drive.google.com/file/d/13y7IW8am0Hez72A7TyTEOybSN7rnINv_/view?usp=drive_link,https://drive.google.com/file/d/1wtPNMEf2KlKnMgxLqgMI7gq77TV_SZEK/view?usp=drive_link
289,องค์การบริหารส่วนตำบล,เด่นใหญ่,เด่นใหญ่,หันคา,ชัยนาท,181.52,2554,สจป.5 สระบุรี,องค์การบริหารส่วนตำบลเด่นใหญ่,15.031803,99.928967,0,https://drive.google.com/file/d/1yV2YBGynNcI8nOX8yDeyMurI9yxxyhTU/view?usp=drive_link,,
290,องค์การบริหารส่วนตำบล,ไพรนกยูง,ไพรนกยูง,หันคา,ชัยนาท,"9,774.72",2550,สจป.5 สระบุรี,องค์การบริหารส่วนตำบลไพรนกยูง,15.08535,99.88537,25,,https://drive.google.com/file/d/16q0QaLqTht6DcH1YfVty5NGcaQQPlwd7/view?usp=drive_link,https://drive.google.com/file/d/1JZzM0dY2rtvkp49wKu_fLGtifLDLUzHw/view?usp=drive_link
291,เทศบาลตำบล,บ้านเดื่อ,บ้านเดื่อ,เกษตรสมบูรณ์,ชัยภูมิ,"3,048.74",2555,สจป.8 นครราชสีมา,เทศบาลตำบลบ้านเดื่อ,16.125358,101.896814,50,https://drive.google.com/file/d/1wI4dqz0jbTOF-gWC1Tcjn4Cv-NUC9A85/view?usp=drive_link,,
292,องค์การบริหารส่วนตำบล,หนองโพนงาม,หนองโพนงาม,เกษตรสมบูรณ์,ชัยภูมิ,"35,280.36",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลหนองโพนงาม,16.4303694,101.9666254,55,https://drive.google.com/file/d/137YdbyWDwba54AS1Hbk9ZSCnPxbj8XQ_/view?usp=drive_link,,
293,องค์การบริหารส่วนตำบล,เก่าย่าดี,เก่าย่าดี,แก้งคร้อ,ชัยภูมิ,"14,590.37",2549,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลเก่าย่าดี,16.05681741,102.0598514,50,,https://drive.google.com/file/d/1CEJhLGydXzgCjP7JJTWhqMl1JnxJv3Oh/view?usp=drive_link,https://drive.google.com/file/d/1Jgn3xHD0orU1Mo9fLDTtDT2YBkzxbCYj/view?usp=drive_link
294,องค์การบริหารส่วนตำบล,ท่ามะไฟหวาน,ท่ามะไฟหวาน,แก้งคร้อ,ชัยภูมิ,732.84,2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลท่ามะไฟหวาน,16.10905016,102.0891452,0,https://drive.google.com/file/d/1kY4UV3glsBe9iAN4zPfMu50N2STjX25P/view?usp=drive_link,,
295,องค์การบริหารส่วนตำบล,ห้วยไร่,ห้วยไร่,คอนสวรรค์,ชัยภูมิ,"20,506.99",2550,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลห้วยไร่,15.97168529,102.1866918,50,,https://drive.google.com/file/d/1hbxvN3otAEPNhIAFHyclmyLiemLqgC0-/view?usp=drive_link,https://drive.google.com/file/d/1lGQwn645iDCpatjHKM6jkBNVv-zgaByW/view?usp=drive_link
296,องค์การบริหารส่วนตำบล,ทุ่งนาเลา,ทุ่งนาเลา,คอนสาร,ชัยภูมิ,"3,691.73",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลทุ่งนาเลา,16.61102284,101.9024031,50,https://drive.google.com/file/d/1ANN3ZIZTWjFzl-kunI31GGdkalwsU_vx/view?usp=drive_link,,
